index,channel,value
0,0,2094
1,1,2048
2,0,2173
3,1,2048
4,0,2168
5,1,2048
6,0,2208
7,1,2048
8,0,2058
9,1,2048
10,0,2192
11,1,2048
12,0,2316
13,1,2048
14,0,2339
15,1,2048
16,0,2409
17,1,2048
18,0,2450
19,1,2048
20,0,2438
21,1,2048
22,0,2537
23,1,2048
24,0,2417
25,1,2048
26,0,2434
27,1,2048
28,0,2463
29,1,2048
30,0,2318
31,1,2048
32,0,2564
33,1,2048
34,0,2562
35,1,2048
36,0,2722
37,1,2048
38,0,2691
39,1,2048
40,0,2741
41,1,2048
42,0,2728
43,1,2048
44,0,2840
45,1,2048
46,0,2875
47,1,2048
48,0,2915
49,1,2048
50,0,2968
51,1,2048
52,0,2767
53,1,2048
54,0,2995
55,1,2048
56,0,2960
57,1,2048
58,0,2917
59,1,2048
60,0,3017
61,1,2048
62,0,2993
63,1,2048
64,0,3060
65,1,2048
66,0,3147
67,1,2048
68,0,3286
69,1,2048
70,0,3116
71,1,2048
72,0,3166
73,1,2048
74,0,2961
75,1,2048
76,0,3075
77,1,2048
78,0,3153
79,1,2048
80,0,3139
81,1,2048
82,0,3158
83,1,2048
84,0,3089
85,1,2048
86,0,3245
87,1,2048
88,0,3161
89,1,2048
90,0,3257
91,1,2048
92,0,3233
93,1,2048
94,0,3274
95,1,2048
96,0,3186
97,1,2048
98,0,3335
99,1,2048
100,0,3237
101,1,2048
102,0,3229
103,1,2048
104,0,3227
105,1,2048
106,0,3195
107,1,2048
108,0,3209
109,1,2048
110,0,3273
111,1,2048
112,0,3227
113,1,2048
114,0,3260
115,1,2048
116,0,3191
117,1,2048
118,0,3260
119,1,2048
120,0,3132
121,1,2048
122,0,3163
123,1,2048
124,0,3157
125,1,2048
126,0,3109
127,1,2048
128,0,3206
129,1,2048
130,0,3093
131,1,2048
132,0,3216
133,1,2048
134,0,3015
135,1,2048
136,0,2998
137,1,2048
138,0,2951
139,1,2048
140,0,2839
141,1,2048
142,0,3015
143,1,2048
144,0,2968
145,1,2048
146,0,2991
147,1,2048
148,0,2883
149,1,2048
150,0,2885
151,1,2048
152,0,2831
153,1,2048
154,0,2920
155,1,2048
156,0,2884
157,1,2048
158,0,2739
159,1,2048
160,0,2681
161,1,2048
162,0,2826
163,1,2048
164,0,2758
165,1,2048
166,0,2710
167,1,2048
168,0,2634
169,1,2048
170,0,2609
171,1,2048
172,0,2610
173,1,2048
174,0,2666
175,1,2048
176,0,2450
177,1,2048
178,0,2468
179,1,2048
180,0,2369
181,1,2048
182,0,2340
183,1,2048
184,0,2389
185,1,2048
186,0,2288
187,1,2048
188,0,2167
189,1,2048
190,0,2223
191,1,2048
192,0,2225
193,1,2048
194,0,2189
195,1,2048
196,0,2168
197,1,2048
198,0,2171
199,1,2048
200,0,2056
201,1,2048
202,0,1789
203,1,2048
204,0,1978
205,1,2048
206,0,2005
207,1,2048
208,0,1859
209,1,2048
210,0,1879
211,1,2048
212,0,2037
213,1,2048
214,0,1857
215,1,2048
216,0,1808
217,1,2048
218,0,1637
219,1,2048
220,0,1767
221,1,2048
222,0,1653
223,1,2048
224,0,1598
225,1,2048
226,0,1571
227,1,2048
228,0,1366
229,1,2048
230,0,1501
231,1,2048
232,0,1480
233,1,2048
234,0,1456
235,1,2048
236,0,1440
237,1,2048
238,0,1307
239,1,2048
240,0,1337
241,1,2048
242,0,1307
243,1,2048
244,0,1252
245,1,2048
246,0,1151
247,1,2048
248,0,1232
249,1,2048
250,0,1147
251,1,2048
252,0,1138
253,1,2048
254,0,1199
255,1,2048
256,0,1072
257,1,2048
258,0,1077
259,1,2048
260,0,1065
261,1,2048
262,0,963
263,1,2048
264,0,1042
265,1,2048
266,0,973
267,1,2048
268,0,1056
269,1,2048
270,0,891
271,1,2048
272,0,979
273,1,2048
274,0,976
275,1,2048
276,0,1051
277,1,2048
278,0,930
279,1,2048
280,0,951
281,1,2048
282,0,975
283,1,2048
284,0,753
285,1,2048
286,0,823
287,1,2048
288,0,954
289,1,2048
290,0,736
291,1,2048
292,0,730
293,1,2048
294,0,791
295,1,2048
296,0,931
297,1,2048
298,0,697
299,1,2048
300,0,850
301,1,2048
302,0,989
303,1,2048
304,0,803
305,1,2048
306,0,730
307,1,2048
308,0,857
309,1,2048
310,0,917
311,1,2048
312,0,850
313,1,2048
314,0,885
315,1,2048
316,0,907
317,1,2048
318,0,939
319,1,2048
320,0,913
321,1,2048
322,0,921
323,1,2048
324,0,878
325,1,2048
326,0,873
327,1,2048
328,0,1019
329,1,2048
330,0,990
331,1,2048
332,0,1001
333,1,2048
334,0,977
335,1,2048
336,0,1092
337,1,2048
338,0,1101
339,1,2048
340,0,1156
341,1,2048
342,0,1039
343,1,2048
344,0,1170
345,1,2048
346,0,1210
347,1,2048
348,0,1005
349,1,2048
350,0,1192
351,1,2048
352,0,1128
353,1,2048
354,0,1214
355,1,2048
356,0,1303
357,1,2048
358,0,1269
359,1,2048
360,0,1297
361,1,2048
362,0,1284
363,1,2048
364,0,1460
365,1,2048
366,0,1487
367,1,2048
368,0,1478
369,1,2048
370,0,1460
371,1,2048
372,0,1590
373,1,2048
374,0,1507
375,1,2048
376,0,1588
377,1,2048
378,0,1657
379,1,2048
380,0,1780
381,1,2048
382,0,1689
383,1,2048
384,0,1708
385,1,2048
386,0,1581
387,1,2048
388,0,1807
389,1,2048
390,0,1923
391,1,2048
392,0,2004
393,1,2048
394,0,2023
395,1,2048
396,0,2165
397,1,2048
398,0,2169
399,1,2048
400,0,2094
401,1,2048
402,0,2050
403,1,2048
404,0,2072
405,1,2048
406,0,2333
407,1,2048
408,0,2187
409,1,2048
410,0,2176
411,1,2048
412,0,2324
413,1,2048
414,0,2361
415,1,2048
416,0,2291
417,1,2048
418,0,2278
419,1,2048
420,0,2456
421,1,2048
422,0,2459
423,1,2048
424,0,2447
425,1,2048
426,0,2620
427,1,2048
428,0,2461
429,1,2048
430,0,2589
431,1,2048
432,0,2664
433,1,2048
434,0,2788
435,1,2048
436,0,2616
437,1,2048
438,0,2501
439,1,2048
440,0,2864
441,1,2048
442,0,2732
443,1,2048
444,0,2699
445,1,2048
446,0,2811
447,1,2048
448,0,2847
449,1,2048
450,0,2873
451,1,2048
452,0,2850
453,1,2048
454,0,3123
455,1,2048
456,0,2944
457,1,2048
458,0,2953
459,1,2048
460,0,3084
461,1,2048
462,0,2907
463,1,2048
464,0,2998
465,1,2048
466,0,2922
467,1,2048
468,0,3015
469,1,2048
470,0,2956
471,1,2048
472,0,2992
473,1,2048
474,0,3053
475,1,2048
476,0,3174
477,1,2048
478,0,3145
479,1,2048
480,0,3114
481,1,2048
482,0,3158
483,1,2048
484,0,3274
485,1,2048
486,0,3150
487,1,2048
488,0,3449
489,1,2048
490,0,3297
491,1,2048
492,0,3211
493,1,2048
494,0,3223
495,1,2048
496,0,3164
497,1,2048
498,0,3143
499,1,2048
500,0,3321
501,1,2048
502,0,3269
503,1,2048
504,0,3274
505,1,2048
506,0,3386
507,1,2048
508,0,3330
509,1,2048
510,0,3169
511,1,2048
512,0,3366
513,1,2048
514,0,3341
515,1,2048
516,0,3237
517,1,2048
518,0,3257
519,1,2048
520,0,3318
521,1,2048
522,0,3141
523,1,2048
524,0,3223
525,1,2048
526,0,3185
527,1,2048
528,0,3313
529,1,2048
530,0,3073
531,1,2048
532,0,3047
533,1,2048
534,0,3013
535,1,2048
536,0,3063
537,1,2048
538,0,3224
539,1,2048
540,0,3133
541,1,2048
542,0,2984
543,1,2048
544,0,2922
545,1,2048
546,0,2861
547,1,2048
548,0,2958
549,1,2048
550,0,2909
551,1,2048
552,0,2844
553,1,2048
554,0,2879
555,1,2048
556,0,2845
557,1,2048
558,0,2760
559,1,2048
560,0,2822
561,1,2048
562,0,2619
563,1,2048
564,0,2697
565,1,2048
566,0,2547
567,1,2048
568,0,2593
569,1,2048
570,0,2645
571,1,2048
572,0,2548
573,1,2048
574,0,2486
575,1,2048
576,0,2565
577,1,2048
578,0,2555
579,1,2048
580,0,2370
581,1,2048
582,0,2476
583,1,2048
584,0,2386
585,1,2048
586,0,2346
587,1,2048
588,0,2210
589,1,2048
590,0,2284
591,1,2048
592,0,2184
593,1,2048
594,0,2198
595,1,2048
596,0,2132
597,1,2048
598,0,2140
599,1,2048
600,0,1988
601,1,2048
602,0,2029
603,1,2048
604,0,2104
605,1,2048
606,0,1927
607,1,2048
608,0,1865
609,1,2048
610,0,1761
611,1,2048
612,0,1860
613,1,2048
614,0,1800
615,1,2048
616,0,1882
617,1,2048
618,0,1819
619,1,2048
620,0,1677
621,1,2048
622,0,1689
623,1,2048
624,0,1596
625,1,2048
626,0,1634
627,1,2048
628,0,1577
629,1,2048
630,0,1565
631,1,2048
632,0,1452
633,1,2048
634,0,1615
635,1,2048
636,0,1435
637,1,2048
638,0,1311
639,1,2048
640,0,1287
641,1,2048
642,0,1217
643,1,2048
644,0,1260
645,1,2048
646,0,1220
647,1,2048
648,0,1143
649,1,2048
650,0,1154
651,1,2048
652,0,1091
653,1,2048
654,0,1012
655,1,2048
656,0,1203
657,1,2048
658,0,1134
659,1,2048
660,0,1126
661,1,2048
662,0,1098
663,1,2048
664,0,1042
665,1,2048
666,0,1120
667,1,2048
668,0,1015
669,1,2048
670,0,965
671,1,2048
672,0,927
673,1,2048
674,0,903
675,1,2048
676,0,847
677,1,2048
